Time,u1,u2,u3,u4
1991-01-08 11:30,-13.49738,4.65799,-6.17437,-0.50699
1991-02-01 09:15,-2.92408,-0.46944,2.09993,-0.08064
1991-02-01 11:30,-4.31834,-0.02458,-0.59962,0.49922
1991-02-07 11:30,-0.05391,0.67608,0.25184,-0.71744
1991-03-08 11:30,-2.60765,1.39108,-3.87731,1.03148
1991-03-27 11:30,-1.98531,0.85004,-1.19258,0.19039
1991-04-30 09:30,-19.12414,8.22312,-8.95046,1.17777
1991-04-30 11:30,1.15214,-1.02871,1.79664,-0.65961
1991-05-15 11:30,1.89441,-0.81402,1.52339,-0.59817
1991-07-05 11:30,0.01375,0.71678,1.44697,0.56265
1991-08-06 11:30,-18.62729,5.32848,-2.92213,-0.0203
1991-08-21 11:30,12.49152,-4.90374,0.02045,0.6731
1991-09-13 09:10,-5.29341,4.23729,-2.11919,0.37407
1991-09-13 11:30,-0.02609,0.5166,0.78109,-0.21407
1991-10-02 11:30,-1.08295,0.38009,0.47577,-0.0884
1991-10-30 11:30,-3.00534,2.12847,-0.38994,0.21789
1991-11-06 08:45,-10.05421,6.45274,-5.12431,-0.61081
1991-11-06 11:30,0.00312,-1.05897,0.95985,0.02571
1991-12-06 11:30,0.01208,0.89144,0.07974,0.35248
1991-12-18 11:30,4.79775,1.39472,-1.82974,0.40692
1991-12-20 08:30,-38.08936,-0.38746,-0.62263,-3.23339
1991-12-20 11:30,1.275,1.26734,-1.42475,0.175
1992-02-06 11:30,1.27533,0.90257,-1.24634,0.18495
1992-04-01 11:30,1.00696,0.51084,-0.10754,-0.38408
1992-04-09 11:30,-21.40081,-7.55069,3.29881,-0.27028
1992-05-20 11:30,-0.00942,3.66541,-2.39768,0.07637
1992-07-02 09:15,-8.52447,4.1879,0.61892,1.22379
1992-08-19 11:30,2.60467,0.83522,-1.11076,0.31301
1992-09-04 11:30,0.00448,-0.84373,1.49288,0.16541
1992-10-07 11:30,-0.04296,3.03733,-1.25773,-0.3891
1992-11-18 11:30,-4.97413,2.94029,-0.95072,0.73354
1992-12-23 11:30,3.8739,-1.34655,0.23042,-0.17013
1993-02-04 11:30,-0.01004,-0.02418,0.48348,-0.09045
1993-03-24 11:30,-0.01411,1.21498,0.14382,-0.00589
1993-05-19 11:30,-2.56761,-0.87609,-0.67836,-0.00092
1993-07-08 11:30,2.77798,-3.33503,-0.08803,0.75944
