date,IPP_qi,HT_qi,EQP_qi,NRS_qi,RI_qi,D_qi,GDP,IPP_nom,HT_nom,EQP_nom,NRS_nom,RI_nom,D_nom,GDP_nom,DGS1_Q
1950-01-01,1.002,0.061,3.188,4.514,28.731,3.769,2346.104,2.181,1.607,15.13,,18.339,29.335,280.828,
1950-04-01,1.018,0.07,3.547,4.89,31.485,3.801,2417.682,2.239,1.822,17.114,,20.603,29.799,290.383,
1950-07-01,1.022,0.071,3.927,5.296,33.204,4.702,2511.127,2.298,1.878,19.343,,22.555,37.355,308.153,
1950-10-01,1.012,0.076,3.867,5.288,31.657,4.12,2559.214,2.328,2.056,19.609,,21.478,33.292,319.945,
1951-01-01,0.984,0.071,3.703,5.15,30.019,4.25,2593.967,2.289,1.979,19.383,,21.057,35.638,336.0,
1951-04-01,0.974,0.075,3.709,5.212,26.008,3.64,2638.898,2.301,2.106,19.672,,18.467,30.735,344.09,
1951-07-01,0.993,0.08,3.789,5.273,24.367,3.574,2693.259,2.365,2.251,20.198,,17.398,30.193,351.385,
1951-10-01,1.034,0.081,3.752,5.186,24.601,3.563,2699.156,2.482,2.261,20.242,,17.723,30.391,356.178,
1952-01-01,1.122,0.085,3.773,5.236,25.246,3.583,2727.954,2.684,2.399,20.418,,18.269,30.776,359.82,
1952-04-01,1.2,0.095,3.825,5.319,25.714,3.653,2733.8,2.869,2.641,20.821,,18.763,31.007,361.03,
1952-07-01,1.279,0.082,3.259,4.905,25.465,3.436,2753.517,3.071,2.241,17.671,,18.754,29.467,367.701,
1952-10-01,1.374,0.091,3.668,5.34,26.84,4.029,2843.941,3.307,2.439,19.867,,19.647,33.723,380.812,
1953-01-01,1.435,0.097,3.929,5.629,27.273,4.164,2896.811,3.486,2.625,21.245,,19.982,35.186,387.98,
1953-04-01,1.501,0.098,3.923,5.685,27.363,4.14,2919.206,3.66,2.681,21.306,,20.073,35.019,391.749,
1953-07-01,1.529,0.102,4.055,5.812,26.339,4.114,2902.785,3.74,2.811,22.125,,19.49,34.577,391.171,
1953-10-01,1.547,0.092,3.938,5.759,26.125,3.999,2858.845,3.783,2.547,21.446,,19.251,33.683,385.97,
1954-01-01,1.562,0.09,3.718,5.607,26.411,3.875,2845.192,3.842,2.457,20.57,,19.351,32.91,385.345,
