variable,family,aggregation_note
jk_pc1_hf,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
jk_SP500_hf,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
jk_MP_pm,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
jk_CBI_pm,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
jk_MP_median,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
jk_CBI_median,JK Fed MP/CBI,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_bp_u1,Identkurto bp,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_bp_u2,Identkurto bp,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_bp_u3,Identkurto bp,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_bp_u4,Identkurto bp,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_bp_event_count,Identkurto bp,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_s_u1,Identkurto standardized,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_s_u2,Identkurto standardized,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_s_u3,Identkurto standardized,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_s_u4,Identkurto standardized,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
ident_s_event_count,Identkurto standardized,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_STMT,USMPD MPS,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_PC,USMPD MPS,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_ME,USMPD MPS,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_event_count,USMPD MPS,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_minutes_MIN,USMPD MPS minutes,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
mps_minutes_event_count,USMPD MPS minutes,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_MPS,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_MPS_ORTH_x,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_NFP_SURP,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_NFP_12M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
